NPP_2002,NPP_2022,NDVI_2002,NDVI_2022,GEOID,AWATER,LSAD,CBSAFP,STATEFP,COUNTYFP,CSAFP,FUNCSTAT,INTPTLAT,CLASSFP,NAME,NAMELSAD,COUNTYNS,INTPTLON,MTFCC,ALAND,system:index,METDIVFP
1530.3535671760146,1967.0731971815358,0.2338119471698492,0.22336561649867354,49017,85610783,06,,49,017,,A,+37.8316645,H1,Garfield,Garfield County,01448023,-111.4509076,G4020,13403572581,0000000000000000027d,
2168.642420873412,2674.767640662557,0.2729496608263044,0.24714492862419774,49031,20285697,06,,49,031,,A,+38.3358805,H1,Piute,Piute County,01448029,-112.1293755,G4020,1964345863,0000000000000000027e,
987.6599782711702,1225.0723744341292,0.1598295748906034,0.15809209673594798,49015,24843841,06,,49,015,,A,+39.0090246,H1,Emery,Emery County,01448022,-110.7210999,G4020,11557242839,0000000000000000027f,
2114.849339873606,3004.95535953169,0.30831949068014364,0.3068145893731474,49009,61230034,06,,49,009,,A,+40.8900990,H1,Daggett,Daggett County,01448019,-109.5057855,G4020,1805185916,00000000000000000280,
1140.3463665254594,1383.6874279122876,0.20136719724709992,0.20113195057976874,49037,293860285,06,,49,037,,A,+37.6026332,H1,San Juan,San Juan County,01448032,-109.7915742,G4020,20253132571,00000000000000000281,
1137.3358561479467,1626.7432047798554,0.2087510389135007,0.21129933925090635,49019,31552275,06,,49,019,,A,+38.9743261,H1,Grand,Grand County,01448024,-109.5734502,G4020,9512361710,00000000000000000282,
1564.4995970494667,2016.27023313787,0.23063394650267588,0.227268906529247,49001,5298466,06,,49,001,,A,+38.3575350,H1,Beaver,Beaver County,01448015,-113.2389481,G4020,6689681807,00000000000000000283,
995.5155207051624,1279.8478792383476,0.16524777140642297,0.16681640036741233,49055,15049641,06,,49,055,,A,+38.2598402,H1,Wayne,Wayne County,01448041,-110.9908770,G4020,6374011501,00000000000000000284,
2520.857149274048,3137.768939130572,0.27668220315347863,0.27120578163815356,49039,32049371,06,,49,039,,A,+39.3825309,H1,Sanpete,Sanpete County,01448033,-111.5728826,G4020,4117901470,00000000000000000285,
1788.520000272373,2405.964500679322,0.24643136774161042,0.24759516268487208,49021,11390956,06,16260,49,021,,A,+37.9093044,H1,Iron,Iron County,01448025,-113.3067405,G4020,8537474421,00000000000000000286,
3232.7702712677174,3554.3159684507887,0.3243579884382155,0.3266650733269088,49005,21097697,06,30860,49,005,,A,+41.7341174,H1,Cache,Cache County,01448017,-111.7453987,G4020,3016638905,00000000000000000287,
1739.3039925071023,2319.500449588743,0.25860880303317074,0.25179995744972283,49007,15844443,06,39220,49,007,,A,+39.6732840,H1,Carbon,Carbon County,01448018,-110.5884845,G4020,3831067717,00000000000000000288,
1645.3758258411517,2459.4411426328015,0.27190342568088843,0.28314438788887786,49053,7781671,06,41100,49,053,,A,+37.2625308,H1,Washington,Washington County,01448040,-113.4878003,G4020,6287037057,00000000000000000289,
1287.3962721232788,1865.4994055761047,0.19364859099347284,0.207939777678159,49047,56115725,06,46860,49,047,,A,+40.1258872,H1,Uintah,Uintah County,01448037,-109.5177482,G4020,11609319533,0000000000000000028a,
1803.137400414715,2206.392666157375,0.1652171242050541,0.18774127537160373,56023,49947393,06,,56,023,,A,+42.2299932,H1,Lincoln,Lincoln County,01605076,-110.6829614,G4020,10555073745,00000000000000000438,
2279.2806779002567,2816.0635652891738,0.22098639765728767,0.21485810299712332,56041,16625817,06,21740,56,041,,A,+41.2847255,H1,Uinta,Uinta County,01605084,-110.5589468,G4020,5391631764,00000000000000000448,
1656.0037013047086,2635.124548903487,0.17817112654988929,0.21505138857138958,56037,166230251,06,40540,56,037,,A,+41.6603282,H1,Sweetwater,Sweetwater County,01609192,-108.8756774,G4020,27005754244,0000000000000000044d,
